,name,birthdate,height,weight
41,Tony ARBOLINO,2000-08-03,171 cm,59 kg 
42,Celestino VIETTI,2001-10-13,0 cm,0 kg 
43,Lorenzo BALDASSARRI,1996-11-06,183 cm,70 kg 
44,Thomas LUTHI,1986-09-06,172 cm,67 kg 
45,Somkiat CHANTRA,1998-12-15,171 cm,64 kg 
46,Simone CORSI,1987-04-24,175 cm,65 kg 
47,Lorenzo DALLA PORTA,1997-06-22,163 cm,58 kg 
48,Cameron BEAUBIER,1992-12-06,168 cm,50 kg 
49,Hector GARZO,1998-06-09,170 cm,62 kg 
50,Hafizh SYAHRIN,1994-05-05,180 cm,66 kg 
51,Barry BALTUS,2004-05-03,176 cm,69 kg 
52,Pedro ACOSTA,2004-05-25,160 cm,62 kg 
53,Darryn BINDER,1998-01-21,175 cm,63 kg 
54,Ryusei YAMANAKA,2001-11-06,170 cm,57 kg 
55,Jaume MASIA,2000-10-31,165 cm,55 kg 
56,John MCPHEE,1994-07-14,167 cm,57 kg 
57,Andrea MIGNO,1996-01-10,165 cm,60 kg 
58,Jason DUPASQUIER,2001-09-07,168 cm,58 kg 
59,Kaito TOBA,2000-04-07,166 cm,58 kg 
60,Stefano NEPA,2001-11-21,167 cm,58 kg 
61,Izan GUEVARA,2004-06-28,169 cm,54 kg 
62,Riccardo ROSSI,2002-03-21,171 cm,55 kg 
63,Niccolò ANTONELLI,1996-02-23,166 cm,56 kg 
64,Sergio GARCIA,2003-03-22,165 cm,56 kg 
65,Andi Farid IZDIHAR,Vampyre,Andre the Giant,Atom
66,Lorenzo FELLON,2004-07-15,172 cm,59 kg 
67,Carlos TATAY,2003-05-07,174 cm,57 kg 
68,Dennis FOGGIA,2001-01-07,164 cm,57 kg 
69,Yuki KUNII,2003-02-18,173 cm,59 kg 
70,Maximilian KOFLER,2000-08-18,173 cm,58 kg 
71,Filip SALAC,2001-12-12,172 cm,57 kg 
72,Tatsuki SUZUKI,1997-09-24,172 cm,62 kg 
73,Ayumu SASAKI,2000-10-04,163 cm,57 kg 
74,Adrian FERNANDEZ,2004-01-31,168 cm,56 kg 
75,Romano FENATI,1996-01-15,165 cm,62 kg 
76,Gabriel RODRIGO,1996-10-12,168 cm,61 kg 
77,Deniz ÖNCÜ,2003-07-26,145 cm,41 kg 
78,Xavier ARTIGAS,2003-05-27,175 cm,61 kg 
79,Jeremy ALCOBA,2001-11-15,177 cm,63 kg 
80,Tommaso MARCON,1999-12-26,180 cm,70 kg 
81,Marc MARQUEZ,1993-02-17,169 cm,65 kg 
82,Miquel PONS,1997-08-01,180 cm,72 kg 
83,Fraser ROGERS,1995-12-19,0 cm,0 kg 
84,Tito RABAT,1989-05-25,178 cm,67 kg 
85,Taiga HADA,1998-09-12,0 cm,0 kg 
86,Eric GRANADO,1996-06-10,173 cm,70 kg 
87,Dominique AEGERTER,1990-09-30,174 cm,69 kg 
88,Jordi TORRES,1987-08-27,181 cm,0 kg 
89,Matteo FERRARI,1997-02-12,175 cm,63 kg 
90,Fermín ALDEGUER,2005-04-05,180 cm,63 kg 
91,Mattia CASADEI,1999-07-02,175 cm,67 kg 
92,Andrea MANTOVANI,1994-09-30,180 cm,74 kg 
93,Yonny HERNANDEZ,1988-07-25,183 cm,72 kg 
94,Alessandro ZACCONE,1999-01-16,174 cm,72 kg 
95,Hikari OKUBO,1993-08-11,168 cm,58 kg 
96,Lukas TULOVIC,2000-06-15,185 cm,69 kg 
97,Xavi CARDELUS,1998-05-15,175 cm,63 kg 
98,Maria HERRERA,1996-08-26,162 cm,54 kg 
99,Corentin PEROLARI,1998-04-13,170 cm,65 kg 
100,Jasper IWEMA,1989-11-15,169 cm,69 kg 
101,Kevin ZANNONI,2000-09-08,172 cm,63 kg 
102,Andre PIRES,1989-08-29,161 cm,61 kg 
